"","county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume","sale.dollars.capita","sale.volume.capita"
"112","Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Tequila",6110,434,0.409160918770508,0.0290631487309985
"113","Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Schnapps",15711,1313,1.05209937721824,0.0879260697783433
"114","Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Gin",3005,286,0.201232170360946,0.0191522132190451
"115","Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Amaretto",381,60,0.0255139623652314,0.00401794682917029
"116","Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Misc",13189,752,0.883211678832117,0.050358266925601
"117","Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Rum",44311,3127,2.96732069912275,0.209401995580258
"118","Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Whisky",108734,9017,7.28145717538338,0.603830442643809
"119","Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Distilled Spirits",1343,86,0.0899350431929284,0.00575905712181075
"120","Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Vodka",59237,6862,3.96685193865935,0.459519185696109
"121","Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Misc",21560,1352,2.18307006885379,0.136897529364115
"122","Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Brandy",6569,586,0.665147833130822,0.0593357634669907
"123","Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Vodka",66698,7406,6.75354394491697,0.749898744430944
"124","Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Schnapps",13672,1119,1.38436614013771,0.113304981773998
"125","Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Rum",63282,4524,6.40765492102066,0.458080194410693
"126","Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Gin",5530,537,0.559943296881328,0.0543742405832321
"127","Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Tequila",12594,704,1.27521263669502,0.0712839206156339
"128","Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Distilled Spirits",655,50,0.0663223977318753,0.0050627784528149
"129","Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Whisky",141632,11525,14.3410287565816,1.16697043337384
"130","Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Amaretto",1837,268,0.18600648035642,0.0271364925070879
"131","Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Schnapps",84580,6250,4.11481391388956,0.304062271953296
"132","Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Distilled Spirits",28018,3323,1.36307467769399,0.161663828752128
"133","Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Gin",30384,2434,1.47818049136463,0.118414011189492
"134","Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Whisky",951051,67419,46.2685964485527,3.27993189005108
"135","Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Rum",472691,33192,22.9963999027001,1.61478958890781
"136","Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Vodka",379040,33719,18.4402821697884,1.64042811967891
"137","Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Misc",163327,9255,7.94585259061056,0.450255412308441
"138","Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Tequila",78219,4717,3.80535149598638,0.229481877888592
"139","Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Amaretto",10059,1261,0.489369982972513,0.061347603989297
"140","Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Brandy",29430,2192,1.43176842617368,0.10664072001946
"141","Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Schnapps",39139,3132,2.91364549988833,0.233157150301496
"142","Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Vodka",201690,20094,15.0145164892429,1.49586838383086
"143","Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Brandy",16734,1384,1.24573810764535,0.103029851857366
"144","Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Rum",145327,10701,10.8186555497655,0.796620263530112
