"","zipcode","sum.sale.dollars.","population","perCapitaSales"
"262",51461,102784,1026,100.179337231969
"263",51462,20794,1005,20.6905472636816
"264",51463,216,657,0.328767123287671
"265",51466,10416,1096,9.5036496350365
"266",51501,5175021,34774,148.818686374878
"267",51503,3543163,37603,94.2255405153844
"268",51510,76234,3765,20.2480743691899
"269",51521,344311,1882,182.949521785335
"270",51526,10620,1406,7.55334281650071
"271",51529,123587,1833,67.4233496999454
"272",51534,315366,9430,33.4428419936373
"273",51535,10945,1910,5.7303664921466
"274",51537,741809,6658,111.416191048363
"275",51546,66729,2774,24.0551550108147
"276",51551,30048,1642,18.299634591961
"277",51553,6133,1074,5.71042830540037
"278",51555,207186,5113,40.5214159984354
"279",51559,42487,1642,25.8751522533496
"280",51560,106661,2307,46.233636757694
"281",51561,95733,1288,74.3268633540373
"282",51566,577897,6497,88.9482838233031
"283",51570,1350,998,1.35270541082164
"284",51573,1160,1175,0.987234042553191
"285",51575,25501,1670,15.2700598802395
"286",51577,34582,1210,28.5801652892562
"287",51579,57198,2395,23.882254697286
"288",51601,743835,5938,125.266924890536
"289",51632,401558,7168,56.0209263392857
"290",51640,20466,1552,13.1868556701031
"291",51653,4588,1585,2.89463722397476
"292",52001,4155490,43821,94.8287350813537
"293",52002,1640908,15877,103.351262833029
"294",52003,1520834,13450,113.073159851301
"295",52031,275575,5368,51.3366244411326
"296",52033,131650,2961,44.4613306315434
"297",52035,11777,1190,9.89663865546219
"298",52037,11239,1118,10.0527728085868
"299",52040,442772,5749,77.0172203861541
"300",52042,43193,1515,28.5102310231023
"301",52043,43094,2209,19.5083748302399
"302",52046,29061,2149,13.523033969288
"303",52049,6620,1492,4.43699731903485
"304",52052,243653,3099,78.6231042271701
"305",52053,83457,1033,80.7909002904163
"306",52057,860886,7555,113.949172733289
"307",52060,829789,8459,98.095401347677
"308",52068,32478,4403,7.37633431751079
"309",52069,10143,1637,6.19609040928528
"310",52076,62209,2331,26.6876876876877
"311",52079,24733,865,28.593063583815
"312",52101,1181316,13745,85.945143688614
"313",52134,2996,368,8.14130434782609
"314",52136,641780,5931,108.207722137919
"315",52142,87150,1746,49.914089347079
"316",52144,87999,1508,58.354774535809
"317",52146,17293,975,17.7364102564103
"318",52151,104929,1796,58.423719376392
"319",52154,69096,796,86.8040201005025
"320",52157,16884,1656,10.195652173913
"321",52159,160927,2288,70.3352272727273
"322",52161,34626,1536,22.54296875
"323",52162,34262,3375,10.1517037037037
"324",52166,63056,125,504.448
"325",52172,642261,5774,111.23328714929
"326",52175,267066,3582,74.5577889447236
"327",52202,667,1011,0.659742828882295
"328",52205,620676,8685,71.4652849740933
"329",52206,3360,2298,1.4621409921671
"330",52207,28270,449,62.9621380846325
"331",52208,261209,3098,84.3153647514525
"332",52211,112066,2382,47.0470193115029
"333",52213,71366,4019,17.7571535207763
"334",52214,74771,3642,20.5302031850632
"335",52223,2914,1503,1.93878908848969
"336",52224,38410,1852,20.7397408207343
"337",52227,30647,3025,10.1312396694215
"338",52228,10798,3292,3.28007290400972
"339",52233,256050,7038,36.381074168798
"340",52240,8082572,33477,241.436568390238
"341",52241,5146272,20107,255.94429800567
"342",52245,459322,24606,18.6670730716086
"343",52246,990190,22392,44.2207038227939
"344",52248,21500,1874,11.4727854855923
"345",52253,76510,2961,25.839243498818
"346",52254,13371,842,15.8800475059382
"347",52301,287040,3904,73.5245901639344
"348",52302,2106737,39070,53.9221141540824
"349",52306,28108,1661,16.9223359422035
"350",52310,464581,6609,70.2952035103647
"351",52314,2216051,6401,346.203874394626
"352",52316,46971,1637,28.693341478314
"353",52317,1103682,18435,59.8688364524003
"354",52324,54675,1871,29.2223409941208
"355",52327,205329,3221,63.7469729897547
"356",52328,4371,2895,1.50984455958549
"357",52332,82380,2210,37.2760180995475
"358",52333,173260,6629,26.1366721979182
"359",52336,16463,2154,7.64298978644383
"360",52337,15257,718,21.2493036211699
"361",52338,226650,3435,65.9825327510917
"362",52340,69264,2548,27.1836734693878
"363",52342,454974,3342,136.138240574506
"364",52345,34925,1472,23.726222826087
"365",52346,530,1210,0.43801652892562
"366",52347,12112,1614,7.50433705080545
"367",52349,303752,7604,39.9463440294582
"368",52351,10129,1410,7.18368794326241
"369",52352,21135,1668,12.6708633093525
"370",52353,1137692,9551,119.117579311067
"371",52356,84974,2495,34.0577154308617
"372",52358,69530,3638,19.1121495327103
"373",52361,248882,4478,55.5788298347477
"374",52401,2221927,2122,1047.09095193214
"375",52402,8460888,41189,205.416203355265
"376",52403,1133610,22961,49.3711075301598
"377",52404,3603141,38337,93.9859926441819
"378",52405,1858098,25420,73.0959087332809
"379",52411,993837,7456,133.293589055794
"380",52501,2366392,29655,79.797403473276
"381",52531,288395,6073,47.4880619133871
"382",52537,93510,7186,13.012802671862
"383",52544,710531,7346,96.7235230057174
"384",52553,30030,1860,16.1451612903226
"385",52554,17846,1277,13.9749412685983
"386",52556,806978,13433,60.0742946475099
"387",52565,155749,1943,80.1590324240865
"388",52571,55348,1632,33.9142156862745
"389",52577,1185453,15180,78.0930830039526
"390",52590,2764,1234,2.23987034035656
"391",52591,116870,3149,37.1133693235948
"392",52601,2553971,29315,87.1216442094491
"393",52623,5768,2056,2.80544747081712
"394",52625,20303,2568,7.90615264797508
"395",52626,27643,1591,17.3746071653048
"396",52627,1051377,13103,80.2394108219492
"397",52632,1981922,13184,150.327821601942
"398",52637,109155,2409,45.3113325031133
"399",52639,8196,1898,4.31822971548999
"400",52641,1029259,11917,86.3689687001762
"401",52653,95922,3413,28.1048930559625
"402",52655,743008,4606,161.313069908815
"403",52656,214770,2311,92.9337948939853
"404",52722,5006320,36393,137.56271810513
"405",52726,75133,5300,14.1760377358491
"406",52728,33458,1093,30.6111619396157
"407",52730,87183,4888,17.8361292962357
"408",52732,2601832,27424,94.8742707117853
