category,Table Name,zipcode,bachelor,high.school,income,pop.asian,pop.black,pop.hawai,pop.indian,pop.multi,pop.other,pop.white,population,sale.dollars,sale.volume,unemployment
,project.acs.zipcodes.csv,50149,3.2,86.2,26856,0,0,0,5,11,0,906,922,,,8.6
,project.acs.zipcodes.csv,50150,6.3,93.9,31875,0,0,0,0,0,28,900,928,,,14.6
,project.acs.zipcodes.csv,50151,10.3,89.5,25625,0,4,0,0,16,0,535,555,,,3.2
,project.acs.zipcodes.csv,50153,9.2,91.1,38393,0,0,0,0,8,1,827,836,,,2.1
,project.acs.zipcodes.csv,50154,15.1,92.1,31298,0,0,0,0,12,0,406,418,,,0.5
,project.acs.zipcodes.csv,50155,12.2,88.7,17375,7,0,0,2,0,0,283,292,,,3.1
,project.acs.zipcodes.csv,50156,24.7,94.1,39421,0,0,0,7,37,8,4216,4268,,,2.6
,project.acs.zipcodes.csv,50157,10.7,95.2,25250,3,4,0,0,6,1,928,942,,,2.5
,project.acs.zipcodes.csv,50158,20,81.8,28421,1238,460,15,93,881,3687,24899,31273,,,6.2
,project.acs.zipcodes.csv,50160,9.7,93.2,31765,0,0,0,0,3,1,448,452,,,7.2
,project.acs.zipcodes.csv,50161,28.2,96.8,40822,21,0,0,0,9,0,1708,1738,,,3.6
,project.acs.zipcodes.csv,50162,18.5,96.4,31818,5,3,0,0,17,2,1270,1297,,,3
,project.acs.zipcodes.csv,50163,17.5,96.9,32917,0,0,0,0,6,0,717,723,,,5.5
,project.acs.zipcodes.csv,50164,25.9,94.7,39313,0,0,0,4,7,0,543,554,,,4.5
,project.acs.zipcodes.csv,50165,22.2,100,32348,0,0,0,0,0,0,113,113,,,0
,project.acs.zipcodes.csv,50166,19.9,97.6,41104,2,0,0,0,19,24,1585,1630,,,5.4
,project.acs.zipcodes.csv,50167,14.8,92.2,36053,0,0,0,0,4,0,493,497,,,5.2
,project.acs.zipcodes.csv,50168,20.6,95.7,37917,0,0,0,0,2,0,642,644,,,0
,project.acs.zipcodes.csv,50169,18.8,91.7,30664,8,162,0,31,47,0,3011,3259,,,8
